id,title,price_iqd,price_raw,price_usd,specs,code,id_cat,url,image,source_cat
4268,F&M CHARGING ADAPTER 20V = 4.5A PA-1900-04,8582,"8,582 - 11,461",7.14,"ادخال 1.5A , اخراج 20V=4.5A , منفذ اوروبي EU Plug .",673647,73,https://alamani.iq/computer/details/4268,https://apiapp.alamani.iq/public/ar/save_file/67e8c124d991056ac3f4411e28147a18.webp,computer:7
4314,F&M CHARGING ADAPTER 20V = 3.25A TYPE-C,13582,"13,582 - 16,461",10.71,"ادخال 1.5A , اخراج 15-24V=3.25A , منفذ اوروبي EU Plug .",673693,79,https://alamani.iq/computer/details/4314,https://apiapp.alamani.iq/public/ar/save_file/50f468e3218249759b1856075f973c4b.webp,computer:11
3796,USED HP NOTEBOOK 15.6 INCH AMD ATHLON 3050U MICROSOFT BASIC GRAPHIC 8GB DDR4 256GB SSD FHD 60hz LCD\IPS 255 G7,257979,"257,979 - 269,782",189.29,"شاشة LCD/IPS , حجم 15.6 , دقة (FHD) , معدل تحديث 60Hz , معالج AMD ATHLON 3050U , كرت شاشة MICROSOFT BASIC GRAPHIC , رام 8GB , تخزين 256GB SSD , شهر صيانة و حسب شروط الضمان.",673390,77,https://alamani.iq/computer/details/3796,https://apiapp.alamani.iq/public/ar/save_file/2991dfb66613fcfce59a195a59930880.webp,computer:11
3162,LENOVO IDEAPAD V15 G3 مستخدم,267979,"267,979 - 279,782",196.43,FHD Anti-glare 250NITS/ 15.6INCH/ 1080*1920/ 60HZ/ INTEL CORE i3-1215U/ INTEL UHD GRAPHICS/ 4GB DDR4 3200MHZ/ 256GB SSD,366399,79,https://alamani.iq/computer/details/3162,https://apiapp.alamani.iq/public/ar/save_file/28bdddeda72025b6ac29869fea86accb.webp,computer:11
3149,HP PROBOOK 640 G5 مستخدم,267979,"267,979 - 279,782",196.43,FHD IPS/ 14INCH/ 1080*1920/ 60HZ/ INTEL UHD GRAPHICS 620/ INTEL CORE i5-8265U/ 8GB RAM 2400MHZ DDR4/ 256GB SSD,366412,77,https://alamani.iq/computer/details/3149,https://apiapp.alamani.iq/public/ar/save_file/61ea15cdb30112d30216817288503213.webp,computer:11
3726,HP 14 13.3INCH 14-DQ1043CL مستخدم,282979,"282,979 - 294,782",207.14,"شاشة LCD/IPS , حجم 13.3 , دقة (FHD) , معدل تحديث 60Hz , معالج CORE I3-1005G1 , كرت شاشة INTEL GRAPHIC , رام 8GB , تخزين 128GB SSD , شهر صيانة و حسب شروط الضمان.",673329,77,https://alamani.iq/computer/details/3726,https://apiapp.alamani.iq/public/ar/save_file/ce14bf1586008c42e7999f54e4ec7d1a.webp,computer:11
2223,DELL LATITUDE 14 INCH 5410 مستخدم,318844,"318,844 - 332,058",232.14,"شاشة LCD/IPS , حجم 14 , دقة (FHD) , معدل تحديث 60Hz , معالج CORE I5-10310U , كرت شاشة MICROSOFT BASIC , رام 8GB DDR4 , تخزين 256GB SSD , شهر صيانة و حسب شروط الضمان",51639,78,https://alamani.iq/computer/details/2223,https://apiapp.alamani.iq/public/ar/save_file/a8dadf2ae9086312f45a05bd4d1d2e1a.webp,computer:11
3731,LENOVO THINKPAD 14 INCH T480 مستخدم,378844,"378,844 - 392,058",275.0,"شاشة LCD/IPS , حجم 14 , دقة (FHD) , معدل تحديث 60Hz , معالج CORE I7-8650U , كرت شاشة INTEL UHD GRAPHIC , رام 8GB , تخزين 256GB SSD , شهر صيانة و حسب شروط الضمان.",673333,79,https://alamani.iq/computer/details/3731,https://apiapp.alamani.iq/public/ar/save_file/d71a1bfefec1816ac468f678e217733d.webp,computer:11
3851,ASUS VIVOBOOK 14 INCH CELERON N4500 INTEL UHD GRAPHICS 4GB DDR4 128GB EMMC FHD 60Hz LCD/IPS E410KA-CL4128,383844,"383,844 - 397,058",278.57,"كاميرا ‎HD بدقة ‎720P , تخزين 33W , LCD/IPS , (FHD) , 60Hz , CELERON N4500 , INTEL GRAHPIC , 4GB Not Upgradable , 128GB eMMC Not Upgradable , استخدام تصفح 2-1 hours ,",673451,67,https://alamani.iq/computer/details/3851,https://apiapp.alamani.iq/public/ar/save_file/08dc207260f81c7a9861dddcf051ad66.webp,computer:7
3165,LENOVO V15 G4 IRU مستخدم,445194,"445,194 - 455,793",321.43,"كاميرا ‎HD بدقة ‎1080p , غالق كاميرا , 65W , LCD/TN , (FHD) , 60Hz , Core I3-1315U , Intel UHD Graphics , 8GB DDR4 , 256GB SSD , استخدام تصفح 4 ساعة , شهر صيانة و حسب شروط الضمان.",366396,79,https://alamani.iq/computer/details/3165,https://apiapp.alamani.iq/public/ar/save_file/4bd154b12df8ecb4b006525d99815bad.webp,computer:11
3156,LENOVO IDEAPAD V15 G3 مستخدم,543685,"543,685 - 557,983",392.86,FHD ANTI-GLARE 300NITS/ 15.6INCH/ 1080*1920/ 60HZ/ INTEL CORE i7-1255U/ INTEL iris Xe Graphics/ 16GB RAM 3200MHZ/ 512GB SSD,366405,79,https://alamani.iq/computer/details/3156,https://apiapp.alamani.iq/public/ar/save_file/c8ca3558f9935690556b7c6180fa4a99.webp,computer:11
2801,LENOVO IDEAPAD SLIM 3 15.6 INCH CORE I3-N305 INTEL UHD GRAPHICS 4GB LPDDR5 256GB SSD LCD/TN FHD 15IAN8,543685,"543,685 - 557,983",392.86,"كاميرا ‎بدقة ‎720P , تخزين 65W , LCD/TN , (FHD) , 60Hz , CORE I3-N305 , INTEL UHD GRAPHICS , 4GB LPDDR5 Not Upgradable , 256GB SSD Not Upgradable , استخدام تصفح 2-1 hours تقريباً.",660106,69,https://alamani.iq/computer/details/2801,https://apiapp.alamani.iq/public/ar/save_file/a5c6d334f16301370e3c1f4843d1fe0a.webp,computer:7
4206,HP LAP 15.6 INCH CORE I3-1315U INTEL UHD GRAPHICS 4GB DDR4 256GB SSD FHD 60Hz LCD/IPS FD0021NX,548685,"548,685 - 562,983",396.43,"كاميرا بدقة 720p , تخزين 45W , LCD/IPS , (FHD) , 60Hz , CORE I3-1315U , INTEL UHD GRAPHICS , 4GB DDR4 , 256GB SSD , استخدام تصفح 3 ساعات تقريباً.",673580,70,https://alamani.iq/computer/details/4206,https://apiapp.alamani.iq/public/ar/save_file/6648c438adaab271cac734530a0c5bbe.webp,computer:7
4269,ASUS VIVOBOOK 15.6 INCH CORE I3-N305 INTEL UHD GRAPHICS 4GB 256GB SSD FHD 60Hz LCD X1504GA-NJ558,563685,"563,685 - 577,983",407.14,"كاميرا بدقة 720p , كيبورد باضاءة خلفية بيضاء , تخزين 45W , LCD/IPS , (FHD) , 60Hz , CORE I3-N305 , INTEL UHD GRAPHICS , 4GB DDR4 , 256GB UFS 2.1 , استخدام تصفح 2 ساعة تقريباً.",673649,67,https://alamani.iq/computer/details/4269,https://apiapp.alamani.iq/public/ar/save_file/306c039fbcbd4c468a63269da7f898ae.webp,computer:7
3212,HP LAPTOP 15-fd0xxx مستخدم,568685,"568,685 - 582,983",410.71,15.6 FHD ANTI-GLARE/ 1920*1080/ 60HZ/ INTEL CORE i7-1355U/ NVIDIA GEFORCE MX550/ 8GB RAM 3200MHZ DDR4/ 512GB SSD,366349,77,https://alamani.iq/computer/details/3212,https://apiapp.alamani.iq/public/ar/save_file/2e2eeda3d489468e5a3b6ab6056e3a0d.webp,computer:11
3631,DELL VOSTRO 15.6 INCH CORE I3 1305U INTEL UHD GRAPHICS 8GB 512GB SSD FHD 60Hz LCD/IPS 3530,583685,"583,685 - 597,983",421.43,"كاميرا ‎HD بدقة ‎720p , 65W , LCD/IPS , (FHD) , 120Hz , CORE I3 1305U , Intel UHD Graphics , 8GB DDR4 , 512GB SSD , استخدام تصفح 3-4 ساعة , سنة صيانة و حسب شروط الضمان.",673237,71,https://alamani.iq/computer/details/3631,https://apiapp.alamani.iq/public/ar/save_file/c774d0580469b3b1dea252ab626218da.webp,computer:7
3158,MSI THIN GF63 10 SC مستخدم,593685,"593,685 - 607,983",428.57,IPS/ 15.6INCH/ 1920*1080/ 60HZ/ INTEL CORE i5-10500H/ NVIDIA GEFORCE GTX 1650/ 16GB RAM 2667MHZ/ 256GB SSD,366403,82,https://alamani.iq/computer/details/3158,https://apiapp.alamani.iq/public/ar/save_file/96a72b28930d9a2c620260dc9af8e8b3.webp,computer:11
4203,HP LAP 15.6 INCH CORE I3-N305 INTEL UHD GRAPHICS 8GB DDR4 256GB SSD FHD 60Hz LCD/IPS FD0133WM,608685,"608,685 - 622,983",439.29,"كاميرا بدقة 720p , تخزين 45W , LCD/IPS , (FHD) , 60Hz , CORE I3-N305 , INTEL UHD GRAPHICS , 8GB DDR4 Not Upgradable , 256GB SSD Not Upgradable , استخدام تصفح 3 ساعات تقريباً.",673581,70,https://alamani.iq/computer/details/4203,https://apiapp.alamani.iq/public/ar/save_file/3295d0383a206a6ea9e3366cfe8b36bb.webp,computer:7
