score,price_iqd,title,why,specs,url
97,774093,LENOVO V15 G4 15.6 INCH CORE I5-13420H INTEL UHD GRAPHICS 8GB/16GB DDR4 512GB SSD FHD 60Hz LCD/TN IRU,رام 16 جيجا · تخزين 512 SSD · معالج i5-13420H,"كاميرا بدقة 720p , تخزين 65W , LCD/TN , (FHD) , 60Hz , CORE I5-13420H , INTEL UHD GRAPHICS , 8GB/16GB DDR4 Upgradable , 512GB SSD , استخدام تصفح 4-3 hours , سنة صيانة و حسب شروط الضمان.",https://alamani.iq/computer/details/1885
87,543685,LENOVO IDEAPAD V15 G3 مستخدم,رام 16 جيجا · تخزين 512 SSD · معالج i7-1255U · مستعمل,FHD ANTI-GLARE 300NITS/ 15.6INCH/ 1080*1920/ 60HZ/ INTEL CORE i7-1255U/ INTEL iris Xe Graphics/ 16GB RAM 3200MHZ/ 512GB SSD,https://alamani.iq/computer/details/3156
83,779093,LENOVO IDEAPAD SLIM 3 15.6 INCH CORE I5-13420H INTEL UHD GRAPHICS 8GB LPDDR5 512GB SSD FHD LCD/IPS 60Hz 15IRH8,رام 8 جيجا · تخزين 512 SSD · معالج i5-13420H · شاشة IPS,"كاميرا ‎بدقة ‎720P , تخزين 65W , LCD/IPS , (FHD) , 60Hz , CORE I5-13420H , INTEL UHD GRAPHICS , 8GB LPDDR5 Not Upgradable , 512GB SSD Not Upgradable , استخدام تصفح 2-1 hours تقريباً.",https://alamani.iq/computer/details/4200
83,794093,HP 15.6 INCH CORE 5-120U INTEL UHD GRAPHICS 8GB 512GB SSD FHD 60Hz LCD/IPS 250R G10,رام 8 جيجا · تخزين 512 SSD · معالج Core 5-120 · شاشة IPS,"كاميرا ‎بدقة ‎720P , تخزين 65W , LCD/IPS , (FHD) , 60Hz , CORE 5-120U , INTEL UHD GRAPHICS , 8GB DDR4 , 512GB SSD , استخدام تصفح 2-1 hours تقريباً.",https://alamani.iq/computer/details/4272
82,593685,MSI THIN GF63 10 SC مستخدم,رام 16 جيجا · تخزين 256 SSD · معالج i5-10500H · قيمنك: حرارة ووزن وبطارية أقل · شاشة IPS · مستعمل,IPS/ 15.6INCH/ 1920*1080/ 60HZ/ INTEL CORE i5-10500H/ NVIDIA GEFORCE GTX 1650/ 16GB RAM 2667MHZ/ 256GB SSD,https://alamani.iq/computer/details/3158
77,759093,LENOVO IDEAPAD 1 15.6 INCH CORE I5-1335U INTEL IRIS XE GRAPHICS 16GB DDR4 256GB SSD FHD 60Hz LCD/TN 15IRU7,رام 16 جيجا · تخزين 256 SSD · معالج i5-1335U,"كاميرا بدقة 720 , 65W , LCD/Tn , (FHD) , 60Hz , CORE I5-1335U , INTEL IRIS XE GRAPHICS , 16GB DDR4 Not Upgradable , 256GB SSD , استخدام تصفح 1-2 hours.",https://alamani.iq/computer/details/4094
76,686890,APPLE MACBOOK PRO مستخدم,رام 16 جيجا · تخزين 256 SSD · معالج Core i7 (جيل قديم) · شاشة IPS · مستعمل,RETINA DISPLAY IPS TECHNOLOGY 500 NITS/ 15.4INCH/ 1800*2880/ 60HZ/ INTEL CORE i7 6-CORE 2.2GHZ/ INTEL UHD GRAPHICS 630/ 16GB RAM DDR4 2400MHZ// 256GB SSD,https://alamani.iq/computer/details/3307
75,643685,DELL 15.6 INCH CORE 3 100U INTEL UHD GRAPHICS 8GB 512B SSD FHD 120Hz LCD/IPS DC15250,رام 8 جيجا · تخزين 512 SSD · معالج Core 3-100 · شاشة IPS,"كاميرا بدقة 720P , تخزين 65W , LCD/IPS , (FHD) , 120Hz , CORE 3 100U , INTEL UHD GRAPHICS , 8GB DDR4-2666MHZ , 512GB SSD , استخدام تصفح 4 ساعة تقريباً, سنة صيانة و حسب شروط الضمان.",https://alamani.iq/computer/details/3692
71,721890,ASUS VIVOBOOK 15.6 INCH CORE I5-1235U INTEL UHD GRAPHICS 8GB 512GB SSD FHD 60Hz LCD X1504ZA-NJ061,رام 8 جيجا · تخزين 512 SSD · معالج i5-1235U · شاشة IPS,"كاميرا بدقة 720p , كيبورد باضاءة خلفية بيضاء , تخزين 45W , LCD/IPS , (FHD) , 60Hz , CORE I5-1235U , INTEL UHD GRAPHICS , 8GB DDR4 , 512GB SSD , استخدام تصفح 2.5 ساعة تقريباً.",https://alamani.iq/computer/details/4270
71,736890,HP 250R G9 15.6 INCH INTEL CORE I5-1334U INTEL UHD GRAPHICS 8GB DDR4 512GB SSD FHD 60Hz LCD/IPS,رام 8 جيجا · تخزين 512 SSD · معالج i5-1334U · شاشة IPS,"كاميرا ‎HD بدقة ‎720P , تخزين 45W , LCD/IPS , (FHD) , 60Hz , CORE I5-1334U , INTEL UHD GRAHPIC , 8GB DDR4 Not Upgradable , 512GB SSD Not Upgradable , استخدام تصفح 2-1 hours , سنة صيانة و حسب شروط الضمان.",https://alamani.iq/computer/details/3843
71,744093,DELL 15.6 INCH CORE I5 1334U INTEL UHD GRAPHICS 8GB DDR4 512GB SSD FHD 120Hz LCD/IPS DC15250,رام 8 جيجا · تخزين 512 SSD · معالج i5-1334U · شاشة IPS,"كاميرا ‎بدقة ‎720P , تخزين 65W , LCD/IPS , (FHD) , 120Hz , CORE I5 1334U , INTEL UHD GRAHPIC , 8GB DDR4 Upgradable , 512GB SSD Not Upgradable , استخدام تصفح 2.5-1 hours , سنة صيانة و حسب شروط الضمان.",https://alamani.iq/computer/details/3841
71,764093,DELL INSPIRON-15 15.6 INCH CORE I5-1334U INTEL UHD GRAPHICS 8GB DDR4 512GB SSD FHD LCD/IPS 120Hz 3530,رام 8 جيجا · تخزين 512 SSD · معالج i5-1334U · شاشة IPS,"كاميرا بدقة 720P , تخزين 65W , LCD/IPS , (FHD) , 120Hz , CORE I5-1334U , INTEL UHD GRAPHICS , 8GB DDR4-2666MHZ , 512GB SSD , استخدام تصفح 2 ساعة تقريباً.",https://alamani.iq/computer/details/4273
71,784093,DELL 15.6 INCH CORE I5-1334U INTEL UHD GRAPHICS 8GB 512GB SSD FHD 60Hz LCD/IPS TOUCH SCREEN DC15250,رام 8 جيجا · تخزين 512 SSD · معالج i5-1334U · شاشة IPS,"كاميرا بدقة 720P , تخزين 65W , LCD/IPS , (FHD) , 60Hz , CORE I5-1334U , INTEL UHD GRAPHICS , 8GB DDR4-3200MHZ , 512GB SSD , استخدام تصفح 2.5 ساعة تقريباً.",https://alamani.iq/computer/details/4271
69,568685,HP LAPTOP 15-fd0xxx مستخدم,رام 8 جيجا · تخزين 512 SSD · معالج i7-1355U · مستعمل,15.6 FHD ANTI-GLARE/ 1920*1080/ 60HZ/ INTEL CORE i7-1355U/ NVIDIA GEFORCE MX550/ 8GB RAM 3200MHZ DDR4/ 512GB SSD,https://alamani.iq/computer/details/3212
66,608685,HP LAP 15.6 INCH CORE I3-N305 INTEL UHD GRAPHICS 8GB DDR4 256GB SSD FHD 60Hz LCD/IPS FD0133WM,رام 8 جيجا · تخزين 256 SSD · معالج i3-N305 (فئة موفّرة) · شاشة IPS,"كاميرا بدقة 720p , تخزين 45W , LCD/IPS , (FHD) , 60Hz , CORE I3-N305 , INTEL UHD GRAPHICS , 8GB DDR4 Not Upgradable , 256GB SSD Not Upgradable , استخدام تصفح 3 ساعات تقريباً.",https://alamani.iq/computer/details/4203
